feature	coefficient
gdp	1.8198558978871864
renewable_energy	-0.8913364072785568
agriculture_value_added	-0.8477984948180876
Birth_rate	-0.6951938598725309
export	0.5040368265422173
natural_resources	0.38903833550561845
unemployment	-0.3245026973119644
forest	-0.3006798741791546
import	-0.2950598719249442
alternative_energy	-0.24967217639049735
arable_land	-0.24914659120038743
fossil_fuel	0.1862961886834438
mortality	-0.13493744465339633
agriculture_land	-0.1318861575565787
industry	0.10873318050240369
